id,name,box_art_url,igdb_id
509658,Just Chatting,https://static-cdn.jtvnw.net/ttv-boxart/509658-{width}x{height}.jpg,
32399,Counter-Strike,https://static-cdn.jtvnw.net/ttv-boxart/32399-{width}x{height}.jpg,
168648543,BATTLEFIELD 6,https://static-cdn.jtvnw.net/ttv-boxart/168648543_IGDB-{width}x{height}.jpg,317407
21779,League of Legends,https://static-cdn.jtvnw.net/ttv-boxart/21779-{width}x{height}.jpg,115
263490,Rust,https://static-cdn.jtvnw.net/ttv-boxart/263490_IGDB-{width}x{height}.jpg,3277
516575,VALORANT,https://static-cdn.jtvnw.net/ttv-boxart/516575-{width}x{height}.jpg,126459
32982,Grand Theft Auto V,https://static-cdn.jtvnw.net/ttv-boxart/32982_IGDB-{width}x{height}.jpg,1020
15540,Radiant Silvergun,https://static-cdn.jtvnw.net/ttv-boxart/15540_IGDB-{width}x{height}.jpg,5422
24241,FINAL FANTASY XIV ONLINE,https://static-cdn.jtvnw.net/ttv-boxart/24241_IGDB-{width}x{height}.jpg,386
114524791,Shadowverse: Worlds Beyond,https://static-cdn.jtvnw.net/ttv-boxart/114524791_IGDB-{width}x{height}.jpg,339985
18122,World of Warcraft,https://static-cdn.jtvnw.net/ttv-boxart/18122-{width}x{height}.jpg,123
498592,I'm Only Sleeping,https://static-cdn.jtvnw.net/ttv-boxart/498592_IGDB-{width}x{height}.jpg,71001
509663,Special Events,https://static-cdn.jtvnw.net/ttv-boxart/509663-{width}x{height}.jpg,
33214,Fortnite,https://static-cdn.jtvnw.net/ttv-boxart/33214-{width}x{height}.jpg,1905
1264310518,Marvel Rivals,https://static-cdn.jtvnw.net/ttv-boxart/1264310518_IGDB-{width}x{height}.jpg,294041
29595,Dota 2,https://static-cdn.jtvnw.net/ttv-boxart/29595-{width}x{height}.jpg,
509672,IRL,https://static-cdn.jtvnw.net/ttv-boxart/509672-{width}x{height}.jpg,
1253800827,Mafia: The Old Country,https://static-cdn.jtvnw.net/ttv-boxart/1253800827_IGDB-{width}x{height}.jpg,314276
513143,Teamfight Tactics,https://static-cdn.jtvnw.net/ttv-boxart/513143-{width}x{height}.jpg,120176
491487,Dead by Daylight,https://static-cdn.jtvnw.net/ttv-boxart/491487-{width}x{height}.jpg,18866
518203,Sports,https://static-cdn.jtvnw.net/ttv-boxart/518203-{width}x{height}.jpg,
27546,World of Tanks,https://static-cdn.jtvnw.net/ttv-boxart/27546-{width}x{height}.jpg,1184
27471,Minecraft,https://static-cdn.jtvnw.net/ttv-boxart/27471_IGDB-{width}x{height}.jpg,135400
460630,Tom Clancy's Rainbow Six Siege X,https://static-cdn.jtvnw.net/ttv-boxart/460630-{width}x{height}.jpg,7360
511224,Apex Legends,https://static-cdn.jtvnw.net/ttv-boxart/511224-{width}x{height}.jpg,114795
138585,Hearthstone,https://static-cdn.jtvnw.net/ttv-boxart/138585-{width}x{height}.jpg,1279
515025,Overwatch 2,https://static-cdn.jtvnw.net/ttv-boxart/515025-{width}x{height}.jpg,125174
499973,Always On,https://static-cdn.jtvnw.net/ttv-boxart/499973-{width}x{height}.jpg,
55453844,Street Fighter 6,https://static-cdn.jtvnw.net/ttv-boxart/55453844_IGDB-{width}x{height}.jpg,191692
29452,Virtual Casino,https://static-cdn.jtvnw.net/ttv-boxart/29452_IGDB-{width}x{height}.jpg,45517
2011938005,EA Sports FC 25,https://static-cdn.jtvnw.net/ttv-boxart/2011938005_IGDB-{width}x{height}.jpg,308698
512710,Call of Duty: Warzone,https://static-cdn.jtvnw.net/ttv-boxart/512710-{width}x{height}.jpg,131800
459931,Old School RuneScape,https://static-cdn.jtvnw.net/ttv-boxart/459931_IGDB-{width}x{height}.jpg,79824
509659,ASMR,https://static-cdn.jtvnw.net/ttv-boxart/509659-{width}x{height}.jpg,
500188,Hunt: Showdown 1896,https://static-cdn.jtvnw.net/ttv-boxart/500188_IGDB-{width}x{height}.jpg,7291
508798,Warhammer,https://static-cdn.jtvnw.net/ttv-boxart/508798-{width}x{height}.jpg,
509660,Art,https://static-cdn.jtvnw.net/ttv-boxart/509660-{width}x{height}.jpg,
493057,PUBG: BATTLEGROUNDS,https://static-cdn.jtvnw.net/ttv-boxart/493057-{width}x{height}.jpg,27789
491931,Escape from Tarkov,https://static-cdn.jtvnw.net/ttv-boxart/491931_IGDB-{width}x{height}.jpg,15536
1669431183,DJs,https://static-cdn.jtvnw.net/ttv-boxart/1669431183-{width}x{height}.jpg,
386821,Black Desert,https://static-cdn.jtvnw.net/ttv-boxart/386821_IGDB-{width}x{height}.jpg,6292
27284,Retro,https://static-cdn.jtvnw.net/ttv-boxart/27284-{width}x{height}.jpg,
31336,Metin2,https://static-cdn.jtvnw.net/ttv-boxart/31336_IGDB-{width}x{height}.jpg,3119
497497,Brawl Stars,https://static-cdn.jtvnw.net/ttv-boxart/497497_IGDB-{width}x{height}.jpg,55945
30921,Rocket League,https://static-cdn.jtvnw.net/ttv-boxart/30921-{width}x{height}.jpg,11198
491168,Clash Royale,https://static-cdn.jtvnw.net/ttv-boxart/491168_IGDB-{width}x{height}.jpg,15707
